Genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
1367605_at	0.0411004538907047	6.50981660006254	4.71950136678376	2.46938301714671e-05	0.00441797593056484	1.99264248528032
1388344_at	0.0438132034934151	6.0904354563796	4.7044754940244	2.59277657109596e-05	0.00451231774201356	2.18295283600662
1388666_at	0.0294516614142983	6.69637675332496	4.7019482248472	2.61411814412541e-05	0.00451231774201356	1.70369328491698
1367997_at	-0.0441279292920269	6.07531296277866	-4.69885120576873	2.64050663905709e-05	0.00451231774201356	2.15016756409468
1370789_a_at	-0.0562208706463023	5.94611783036164	-4.69637051770787	2.66183239833564e-05	0.00451231774201356	2.1901110307614
1367783_at	0.026302385078635	6.61194820660163	4.68980622551634	2.71908410005463e-05	0.00451231774201356	1.77227731416454
1368278_at	-0.059999838611029	5.78047087360173	-4.68904298661443	2.72581889661136e-05	0.00451231774201356	2.21471618016047
1388126_at	0.044346038039567	6.16801050057458	4.6871899272533	2.74223855667914e-05	0.00451231774201356	2.07185702736214
1388939_at	-0.0433605560274222	6.23758879302614	-4.6864500820647	2.74882133376446e-05	0.00451231774201356	1.99512167933786
1377008_at	0.044274413516618	6.62113935324671	4.67912544258513	2.81483634593386e-05	0.00454275745368268	1.77236882815898
1376345_at	0.0330894803042483	6.59944699911729	4.67807575254509	2.8244237135878e-05	0.00454275745368268	1.76271125672287
1382099_at	0.0516417989736428	6.13627310899719	4.67110460122522	2.88891433387777e-05	0.00460001829383358	2.05078747846291
1374312_at	0.0456186074432017	6.21980404124505	4.66331702122029	2.96267011505977e-05	0.00466998278519234	1.96268928736804
1369246_a_at	-0.055291916980031	5.71241506608258	-4.65608376845284	3.03283190521785e-05	0.00466998278519234	2.11665848729425
1399158_a_at	0.0484931153904249	6.39152180932218	4.65554796988965	3.03809357024358e-05	0.00466998278519234	1.84548610899577
1369815_at	-0.0468277487899114	5.94441808735723	-4.65235270633769	3.06965855556827e-05	0.00466998278519234	2.05712682424246
1369816_at	0.0374432566851377	6.61061548974635	4.65136344906496	3.07949627862335e-05	0.00466998278519234	1.69726796329987
1387465_a_at	-0.05246551890116	5.90972308537805	-4.63933682459253	3.20160179128418e-05	0.00480934955873755	2.03019888559784
1386996_at	0.0288803308916394	6.54894556012359	4.62898046944989	3.3105513246452e-05	0.00492653352732014	1.65993763564326
1398751_at	0.0291865924915395	6.64619179387174	4.62585935695648	3.34409398126548e-05	0.00493037115404539	1.53718665946847
1398843_at	0.032739888092479	6.58136976475896	4.61869446799829	3.42236294873891e-05	0.00494116084812371	1.58428126763032
1388437_at	0.0339041412795016	6.49052271478492	4.61508699899064	3.46244895171241e-05	0.00494116084812371	1.64464220068899
1376518_at	-0.0490635936294721	6.0179609651251	-4.61464456448183	3.46739689228455e-05	0.00494116084812371	1.91045264295611
1370381_at	0.0591571558141073	6.07702379696825	4.61391789557753	3.47553862331128e-05	0.00494116084812371	1.91165953487939
1368818_at	-0.0590944063990744	6.10055563924246	-4.59857642240471	3.65187592991927e-05	0.00514591331257563	1.83948052102046
1368468_at	-0.0608952504739726	5.80887225709372	-4.59574316511901	3.68538941359963e-05	0.00514758382743395	1.91794292425263
1388305_at	0.0690589106625605	5.93905018016089	4.58603791868107	3.80249340652286e-05	0.00526496543583161	1.87519917319655
1389325_at	0.0540386159258315	6.22957569744888	4.57432332681118	3.94871446181994e-05	0.00542029141168611	1.71390631086139
1389366_at	-0.0421959562071317	6.15537633753915	-4.56642914901952	4.05034686278502e-05	0.00551227975180563	1.67570259320314
1374463_at	0.0474024746393562	6.15608375058769	4.55879717500005	4.15104199501719e-05	0.0056014442107338	1.70847520462843
1373326_at	0.0556851555663389	6.29428831410935	4.55607653085148	4.18752832120499e-05	0.00560319440828126	1.58186146309495
1375973_at	-0.0599581975945975	5.95069017391031	-4.55097715989439	4.25676500613769e-05	0.00560615362855697	1.75658092511184
1371680_at	0.0439307008667518	6.62871862204883	4.5507295269734	4.26015568081011e-05	0.00560615362855697	1.33517403002252
1387481_at	-0.0422285212616726	5.89796616583329	-4.54758326328912	4.3034667566672e-05	0.00561522588918888	1.7528004159934
1375941_at	-0.0403234093846638	6.031649364239	-4.54226185623102	4.37770565083181e-05	0.00561522588918888	1.67329451428153
1375007_at	0.0539888469603325	6.23154394032939	4.54012867725628	4.40781704077249e-05	0.00561522588918888	1.57618438326504
1398854_at	0.0359113182215953	6.4646218666971	4.54010804628185	4.40810925170263e-05	0.00561522588918888	1.41819455949923
1389078_at	-0.0495213189956871	5.7421316337263	-4.53263945225706	4.51515015677408e-05	0.0057059314243106	1.7325974497234
1388132_at	0.0485880956372462	6.22124425727475	4.52872833705709	4.57221754570229e-05	0.00573255275434783	1.54322361504687
1375928_at	0.0548079268202901	6.24442075139045	4.51290742959001	4.81036609033968e-05	0.0059840202544124	1.50884549987941
1368992_a_at	0.0387732643510175	6.46058418899964	4.50341947158694	4.9589753821643e-05	0.00605980025472453	1.3185982397467
1398938_at	0.032298684339203	6.37775811070199	4.50247765497155	4.97397022536601e-05	0.00605980025472453	1.36599146798508
1382255_at	0.0538372119346757	6.04909255095528	4.50109550556699	4.99605618907436e-05	0.00605980025472453	1.55123243740925
